"node_from","node_to","co_occurrences"
14,234,1
14,275,2
14,145,2
14,266,1
14,274,2
14,60,1
14,92,2
14,217,1
15,216,2
15,45,1
15,72,1
15,116,1
15,164,1
15,258,1
15,155,1
15,201,1
15,275,1
16,92,3
16,268,1
16,275,3
16,165,3
16,44,3
16,55,3
17,54,1
17,113,1
17,198,1
17,225,2
17,271,1
17,284,6
17,287,1
17,63,1
17,72,1
17,160,1
17,164,1
17,194,1
17,206,2
17,242,3
17,250,1
17,259,1
17,285,1
17,50,4
17,55,5
17,59,1
17,71,1
17,77,1
17,81,2
17,89,1
17,91,1
17,95,2
17,125,1
17,131,1
17,146,2
17,163,5
17,170,5
17,216,4
17,223,1
17,236,1
17,275,5
17,48,1
17,74,1
17,99,2
17,111,4
17,128,1
17,153,1
17,168,1
17,234,1
17,73,2
17,76,1
17,217,3
17,268,1
17,42,1
17,60,4
17,130,2
17,165,4
17,203,2
17,215,2
17,282,1
17,92,5
17,98,2
17,143,2
17,145,2
17,266,2
17,136,2
17,140,2
17,192,2
17,279,1
17,126,2
17,178,1
17,254,2
17,88,1
17,156,1
17,62,2
17,138,2
17,272,1
18,44,1
18,55,1
18,56,1
18,92,1
18,166,1
19,55,1
20,44,2
20,56,2
20,60,2
20,92,2
20,165,2
20,249,1
20,252,1
20,266,1
21,98,1
21,162,1
21,165,1
21,176,1
21,202,1
21,243,1
21,275,1
22,77,1
22,91,1
22,105,1
23,92,1
23,55,1
23,182,1
23,195,1
23,266,1
24,99,1
24,100,1
24,170,1
24,261,1
24,262,1
25,202,1
26,45,1
26,51,1
26,58,1
26,57,1
26,116,1
26,164,1
26,194,1
26,196,1
26,244,1
26,258,1
26,55,5
26,91,1
26,92,5
26,274,5
26,275,5
26,277,1
26,77,1
26,81,2
26,131,1
26,168,1
26,242,3
26,44,4
26,56,4
26,60,4
26,139,2
26,163,5
26,165,4
26,215,2
26,217,3
26,266,2
26,43,1
26,50,4
26,84,3
27,92,1
27,275,1
27,109,1
28,51,1
28,194,1
28,216,1
28,242,1
28,86,1
28,172,1
29,92,1
30,50,1
30,55,1
30,92,1
30,124,1
30,126,1
30,138,1
30,139,1
30,165,1
30,166,1
30,181,1
30,211,1
30,254,1
30,278,1
31,62,2
31,92,4
31,111,3
31,165,4
31,170,3
31,187,3
31,212,1
31,235,2
31,238,2
31,253,1
31,109,2
31,110,1
31,150,1
31,185,1
31,217,2
31,241,2
31,243,3
31,50,2
31,60,3
31,138,3
31,152,1
31,242,2
31,41,1
31,112,1
31,141,3
31,193,2
31,177,1
31,207,2
31,216,2
31,245,1
31,127,1
31,265,1
31,108,2
31,121,1
32,264,1
32,91,1
32,101,1
33,88,1
33,165,2
33,192,2
33,216,1
33,272,1
33,275,2
33,60,1
33,92,2
33,146,1
33,163,2
33,170,2
33,283,1
33,210,1
33,248,1
34,76,1
34,92,3
34,115,1
34,163,3
34,199,2
34,60,3
34,130,2
34,165,3
34,211,1
34,270,2
34,266,1
34,255,1
35,50,2
35,92,4
35,174,1
35,187,3
35,199,1
35,76,1
35,112,2
35,170,3
35,78,1
35,175,1
35,242,2
35,62,1
35,68,1
35,138,3
35,163,4
35,238,1
35,243,2
35,143,1
35,197,1
35,216,1
35,190,2
35,265,1
36,55,2
36,101,2
36,234,1
36,272,1
37,165,2
37,266,1
37,274,2
37,154,1
37,187,1
37,92,2
38,76,1
38,95,1
38,274,4
38,275,4
38,276,3
38,92,4
38,165,4
38,192,2
38,217,3
38,226,2
38,266,2
38,60,3
38,73,2
38,140,3
38,216,1
38,50,3
38,166,1
38,167,2
38,124,1
38,178,1
39,45,1
39,86,1
39,100,1
39,161,1
39,180,1
39,216,1
39,271,1
39,258,1
