"layer_from","node_from","layer_to","node_to","trial_number","weight"
2,14,1,14,101,0.860990451384097
4,14,2,14,101,0.86588315293041
1,14,2,14,101,0.860990451384097
6,17,2,17,101,0.846852661022826
2,17,6,17,101,0.846852661022826
2,17,5,17,101,0.854285428133962
2,17,3,17,101,0.894390241787489
5,17,2,17,101,0.854285428133962
3,17,2,17,101,0.894390241787489
3,35,7,35,101,0.868329291910349
7,35,3,35,101,0.868329291910349
7,8,1,8,101,0.837149498987334
7,8,2,8,101,0.834515141041825
1,8,7,8,101,0.837149498987334
2,8,7,8,101,0.834515141041825
6,1,1,1,102,0.844602368427358
6,1,5,1,102,1
6,1,4,1,102,0.95043834059757
5,1,1,1,102,0.844756442661504
5,1,6,1,102,1
5,1,4,1,102,0.992191767955393
4,1,1,1,102,0.853824028541735
4,1,6,1,102,0.95043834059757
4,1,5,1,102,0.992191767955393
5,10,7,10,102,0.92375797722717
4,10,7,10,102,0.901628286948602
7,10,5,10,102,0.92375797722717
7,10,4,10,102,0.901628286948602
7,10,6,10,102,0.96299391606049
6,10,7,10,102,0.96299391606049
6,12,3,12,102,0.890714569636423
5,12,3,12,102,0.901156001087975
4,12,3,12,102,0.932109694280795
3,12,6,12,102,0.890714569636423
3,12,5,12,102,0.901156001087975
3,12,4,12,102,0.932109694280795
3,12,1,12,102,0.87645361381956
1,12,6,12,102,0.844602368427358
1,12,5,12,102,0.844756442661504
1,12,4,12,102,0.853824028541735
1,12,3,12,102,0.87645361381956
2,14,4,14,102,0.86588315293041
2,14,1,14,102,0.860990451384097
4,14,2,14,102,0.86588315293041
1,14,2,14,102,0.860990451384097
3,17,2,17,102,0.894390241787489
2,17,3,17,102,0.894390241787489
2,17,6,17,102,0.846852661022826
2,17,5,17,102,0.854285428133962
6,17,2,17,102,0.846852661022826
5,17,2,17,102,0.854285428133962
7,35,3,35,102,0.868329291910349
3,35,7,35,102,0.868329291910349
7,8,2,8,102,0.834515141041825
7,8,1,8,102,0.837149498987334
2,8,7,8,102,0.834515141041825
1,8,7,8,102,0.837149498987334
6,1,1,1,103,0.844602368427358
6,1,5,1,103,1
6,1,4,1,103,0.95043834059757
5,1,1,1,103,0.844756442661504
5,1,6,1,103,1
5,1,4,1,103,0.992191767955393
4,1,1,1,103,0.853824028541735
4,1,6,1,103,0.95043834059757
4,1,5,1,103,0.992191767955393
5,10,7,10,103,0.92375797722717
4,10,7,10,103,0.901628286948602
7,10,5,10,103,0.92375797722717
7,10,4,10,103,0.901628286948602
7,10,6,10,103,0.96299391606049
6,10,7,10,103,0.96299391606049
4,12,3,12,103,0.932109694280795
6,12,3,12,103,0.890714569636423
3,12,4,12,103,0.932109694280795
3,12,6,12,103,0.890714569636423
3,12,5,12,103,0.901156001087975
3,12,1,12,103,0.87645361381956
5,12,3,12,103,0.901156001087975
1,12,4,12,103,0.853824028541735
1,12,6,12,103,0.844602368427358
1,12,3,12,103,0.87645361381956
1,12,5,12,103,0.844756442661504
2,14,4,14,103,0.86588315293041
2,14,1,14,103,0.860990451384097
4,14,2,14,103,0.86588315293041
1,14,2,14,103,0.860990451384097
2,17,6,17,103,0.846852661022826
2,17,5,17,103,0.854285428133962
2,17,3,17,103,0.894390241787489
6,17,2,17,103,0.846852661022826
5,17,2,17,103,0.854285428133962
3,17,2,17,103,0.894390241787489
7,35,3,35,103,0.868329291910349
3,35,7,35,103,0.868329291910349
7,8,1,8,103,0.837149498987334
7,8,2,8,103,0.834515141041825
1,8,7,8,103,0.837149498987334
2,8,7,8,103,0.834515141041825
4,1,1,1,104,0.853824028541735
4,1,6,1,104,0.95043834059757
4,1,5,1,104,0.992191767955393
6,1,1,1,104,0.844602368427358
6,1,4,1,104,0.95043834059757
6,1,5,1,104,1
5,1,1,1,104,0.844756442661504
5,1,4,1,104,0.992191767955393
5,1,6,1,104,1
4,10,7,10,104,0.901628286948602
5,10,7,10,104,0.92375797722717
7,10,4,10,104,0.901628286948602
7,10,5,10,104,0.92375797722717
7,10,6,10,104,0.96299391606049
6,10,7,10,104,0.96299391606049
5,12,3,12,104,0.901156001087975
3,12,5,12,104,0.901156001087975
3,12,4,12,104,0.932109694280795
3,12,6,12,104,0.890714569636423
3,12,1,12,104,0.87645361381956
4,12,3,12,104,0.932109694280795
6,12,3,12,104,0.890714569636423
1,12,5,12,104,0.844756442661504
1,12,3,12,104,0.87645361381956
1,12,4,12,104,0.853824028541735
1,12,6,12,104,0.844602368427358
2,14,4,14,104,0.86588315293041
2,14,1,14,104,0.860990451384097
4,14,2,14,104,0.86588315293041
1,14,2,14,104,0.860990451384097
6,17,2,17,104,0.846852661022826
2,17,6,17,104,0.846852661022826
2,17,5,17,104,0.854285428133962
2,17,3,17,104,0.894390241787489
5,17,2,17,104,0.854285428133962
3,17,2,17,104,0.894390241787489
3,35,7,35,104,0.868329291910349
7,35,3,35,104,0.868329291910349
7,8,1,8,104,0.837149498987334
7,8,2,8,104,0.834515141041825
1,8,7,8,104,0.837149498987334
2,8,7,8,104,0.834515141041825
4,1,1,1,105,0.853824028541735
4,1,6,1,105,0.95043834059757
4,1,5,1,105,0.992191767955393
6,1,1,1,105,0.844602368427358
6,1,4,1,105,0.95043834059757
6,1,5,1,105,1
5,1,1,1,105,0.844756442661504
5,1,4,1,105,0.992191767955393
5,1,6,1,105,1
5,10,7,10,105,0.92375797722717
4,10,7,10,105,0.901628286948602
7,10,5,10,105,0.92375797722717
7,10,4,10,105,0.901628286948602
7,10,6,10,105,0.96299391606049
6,10,7,10,105,0.96299391606049
5,12,3,12,105,0.901156001087975
3,12,5,12,105,0.901156001087975
3,12,4,12,105,0.932109694280795
3,12,6,12,105,0.890714569636423
3,12,1,12,105,0.87645361381956
4,12,3,12,105,0.932109694280795
6,12,3,12,105,0.890714569636423
1,12,5,12,105,0.844756442661504
1,12,3,12,105,0.87645361381956
1,12,4,12,105,0.853824028541735
1,12,6,12,105,0.844602368427358
2,14,4,14,105,0.86588315293041
2,14,1,14,105,0.860990451384097
4,14,2,14,105,0.86588315293041
1,14,2,14,105,0.860990451384097
6,17,2,17,105,0.846852661022826
2,17,6,17,105,0.846852661022826
2,17,5,17,105,0.854285428133962
2,17,3,17,105,0.894390241787489
5,17,2,17,105,0.854285428133962
3,17,2,17,105,0.894390241787489
7,35,3,35,105,0.868329291910349
3,35,7,35,105,0.868329291910349
7,8,1,8,105,0.837149498987334
7,8,2,8,105,0.834515141041825
1,8,7,8,105,0.837149498987334
2,8,7,8,105,0.834515141041825
6,1,1,1,106,0.844602368427358
6,1,5,1,106,1
6,1,4,1,106,0.95043834059757
5,1,1,1,106,0.844756442661504
5,1,6,1,106,1
5,1,4,1,106,0.992191767955393
4,1,1,1,106,0.853824028541735
4,1,6,1,106,0.95043834059757
4,1,5,1,106,0.992191767955393
5,10,7,10,106,0.92375797722717
4,10,7,10,106,0.901628286948602
7,10,5,10,106,0.92375797722717
7,10,4,10,106,0.901628286948602
7,10,6,10,106,0.96299391606049
6,10,7,10,106,0.96299391606049
5,12,3,12,106,0.901156001087975
3,12,5,12,106,0.901156001087975
3,12,6,12,106,0.890714569636423
3,12,4,12,106,0.932109694280795
3,12,1,12,106,0.87645361381956
6,12,3,12,106,0.890714569636423
4,12,3,12,106,0.932109694280795
1,12,5,12,106,0.844756442661504
1,12,3,12,106,0.87645361381956
1,12,6,12,106,0.844602368427358
1,12,4,12,106,0.853824028541735
2,14,4,14,106,0.86588315293041
2,14,1,14,106,0.860990451384097
4,14,2,14,106,0.86588315293041
1,14,2,14,106,0.860990451384097
3,17,2,17,106,0.894390241787489
2,17,3,17,106,0.894390241787489
2,17,5,17,106,0.854285428133962
2,17,6,17,106,0.846852661022826
5,17,2,17,106,0.854285428133962
6,17,2,17,106,0.846852661022826
3,35,7,35,106,0.868329291910349
7,35,3,35,106,0.868329291910349
7,8,2,8,106,0.834515141041825
7,8,1,8,106,0.837149498987334
2,8,7,8,106,0.834515141041825
1,8,7,8,106,0.837149498987334
4,1,1,1,107,0.853824028541735
4,1,5,1,107,0.992191767955393
4,1,6,1,107,0.95043834059757
5,1,1,1,107,0.844756442661504
5,1,4,1,107,0.992191767955393
5,1,6,1,107,1
6,1,1,1,107,0.844602368427358
6,1,4,1,107,0.95043834059757
6,1,5,1,107,1
4,10,7,10,107,0.901628286948602
5,10,7,10,107,0.92375797722717
7,10,4,10,107,0.901628286948602
7,10,5,10,107,0.92375797722717
7,10,6,10,107,0.96299391606049
6,10,7,10,107,0.96299391606049
5,12,3,12,107,0.901156001087975
4,12,3,12,107,0.932109694280795
3,12,5,12,107,0.901156001087975
3,12,4,12,107,0.932109694280795
3,12,6,12,107,0.890714569636423
3,12,1,12,107,0.87645361381956
6,12,3,12,107,0.890714569636423
1,12,5,12,107,0.844756442661504
1,12,4,12,107,0.853824028541735
1,12,3,12,107,0.87645361381956
1,12,6,12,107,0.844602368427358
2,14,4,14,107,0.86588315293041
2,14,1,14,107,0.860990451384097
4,14,2,14,107,0.86588315293041
1,14,2,14,107,0.860990451384097
2,17,6,17,107,0.846852661022826
2,17,5,17,107,0.854285428133962
2,17,3,17,107,0.894390241787489
6,17,2,17,107,0.846852661022826
5,17,2,17,107,0.854285428133962
3,17,2,17,107,0.894390241787489
7,35,3,35,107,0.868329291910349
3,35,7,35,107,0.868329291910349
7,8,1,8,107,0.837149498987334
7,8,2,8,107,0.834515141041825
1,8,7,8,107,0.837149498987334
2,8,7,8,107,0.834515141041825
6,1,1,1,108,0.844602368427358
6,1,5,1,108,1
6,1,4,1,108,0.95043834059757
5,1,1,1,108,0.844756442661504
5,1,6,1,108,1
5,1,4,1,108,0.992191767955393
4,1,1,1,108,0.853824028541735
4,1,6,1,108,0.95043834059757
4,1,5,1,108,0.992191767955393
4,10,7,10,108,0.901628286948602
5,10,7,10,108,0.92375797722717
7,10,4,10,108,0.901628286948602
7,10,5,10,108,0.92375797722717
7,10,6,10,108,0.96299391606049
6,10,7,10,108,0.96299391606049
6,12,3,12,108,0.890714569636423
3,12,6,12,108,0.890714569636423
3,12,5,12,108,0.901156001087975
3,12,4,12,108,0.932109694280795
3,12,1,12,108,0.87645361381956
5,12,3,12,108,0.901156001087975
4,12,3,12,108,0.932109694280795
1,12,6,12,108,0.844602368427358
1,12,3,12,108,0.87645361381956
1,12,5,12,108,0.844756442661504
1,12,4,12,108,0.853824028541735
2,14,4,14,108,0.86588315293041
2,14,1,14,108,0.860990451384097
4,14,2,14,108,0.86588315293041
1,14,2,14,108,0.860990451384097
2,17,6,17,108,0.846852661022826
2,17,5,17,108,0.854285428133962
2,17,3,17,108,0.894390241787489
6,17,2,17,108,0.846852661022826
5,17,2,17,108,0.854285428133962
3,17,2,17,108,0.894390241787489
7,35,3,35,108,0.868329291910349
3,35,7,35,108,0.868329291910349
1,8,7,8,108,0.837149498987334
7,8,1,8,108,0.837149498987334
7,8,2,8,108,0.834515141041825
2,8,7,8,108,0.834515141041825
4,1,1,1,109,0.853824028541735
4,1,6,1,109,0.95043834059757
4,1,5,1,109,0.992191767955393
6,1,1,1,109,0.844602368427358
6,1,4,1,109,0.95043834059757
6,1,5,1,109,1
5,1,1,1,109,0.844756442661504
5,1,4,1,109,0.992191767955393
5,1,6,1,109,1
6,10,7,10,109,0.96299391606049
4,10,7,10,109,0.901628286948602
7,10,6,10,109,0.96299391606049
7,10,4,10,109,0.901628286948602
7,10,5,10,109,0.92375797722717
5,10,7,10,109,0.92375797722717
4,12,3,12,109,0.932109694280795
3,12,4,12,109,0.932109694280795
3,12,5,12,109,0.901156001087975
3,12,1,12,109,0.87645361381956
3,12,6,12,109,0.890714569636423
5,12,3,12,109,0.901156001087975
1,12,4,12,109,0.853824028541735
1,12,3,12,109,0.87645361381956
1,12,5,12,109,0.844756442661504
1,12,6,12,109,0.844602368427358
6,12,3,12,109,0.890714569636423
2,14,4,14,109,0.86588315293041
2,14,1,14,109,0.860990451384097
4,14,2,14,109,0.86588315293041
1,14,2,14,109,0.860990451384097
2,17,6,17,109,0.846852661022826
2,17,5,17,109,0.854285428133962
2,17,3,17,109,0.894390241787489
6,17,2,17,109,0.846852661022826
5,17,2,17,109,0.854285428133962
3,17,2,17,109,0.894390241787489
3,35,7,35,109,0.868329291910349
7,35,3,35,109,0.868329291910349
7,8,1,8,109,0.837149498987334
7,8,2,8,109,0.834515141041825
1,8,7,8,109,0.837149498987334
2,8,7,8,109,0.834515141041825
4,1,1,1,11,0.853824028541735
4,1,5,1,11,0.992191767955393
4,1,6,1,11,0.95043834059757
5,1,1,1,11,0.844756442661504
5,1,4,1,11,0.992191767955393
5,1,6,1,11,1
6,1,1,1,11,0.844602368427358
6,1,4,1,11,0.95043834059757
6,1,5,1,11,1
5,10,7,10,11,0.92375797722717
4,10,7,10,11,0.901628286948602
7,10,5,10,11,0.92375797722717
7,10,4,10,11,0.901628286948602
7,10,6,10,11,0.96299391606049
6,10,7,10,11,0.96299391606049
5,12,3,12,11,0.901156001087975
3,12,5,12,11,0.901156001087975
3,12,4,12,11,0.932109694280795
3,12,6,12,11,0.890714569636423
3,12,1,12,11,0.87645361381956
4,12,3,12,11,0.932109694280795
6,12,3,12,11,0.890714569636423
1,12,5,12,11,0.844756442661504
1,12,3,12,11,0.87645361381956
1,12,4,12,11,0.853824028541735
1,12,6,12,11,0.844602368427358
2,14,4,14,11,0.86588315293041
2,14,1,14,11,0.860990451384097
4,14,2,14,11,0.86588315293041
1,14,2,14,11,0.860990451384097
2,17,6,17,11,0.846852661022826
2,17,5,17,11,0.854285428133962
2,17,3,17,11,0.894390241787489
6,17,2,17,11,0.846852661022826
5,17,2,17,11,0.854285428133962
3,17,2,17,11,0.894390241787489
7,35,3,35,11,0.868329291910349
3,35,7,35,11,0.868329291910349
7,8,1,8,11,0.837149498987334
7,8,2,8,11,0.834515141041825
1,8,7,8,11,0.837149498987334
2,8,7,8,11,0.834515141041825
4,1,1,1,110,0.853824028541735
4,1,5,1,110,0.992191767955393
4,1,6,1,110,0.95043834059757
5,1,1,1,110,0.844756442661504
5,1,4,1,110,0.992191767955393
5,1,6,1,110,1
6,1,1,1,110,0.844602368427358
6,1,4,1,110,0.95043834059757
6,1,5,1,110,1
6,10,7,10,110,0.96299391606049
5,10,7,10,110,0.92375797722717
7,10,6,10,110,0.96299391606049
7,10,5,10,110,0.92375797722717
7,10,4,10,110,0.901628286948602
4,10,7,10,110,0.901628286948602
6,12,3,12,110,0.890714569636423
3,12,6,12,110,0.890714569636423
3,12,4,12,110,0.932109694280795
3,12,5,12,110,0.901156001087975
3,12,1,12,110,0.87645361381956
4,12,3,12,110,0.932109694280795
5,12,3,12,110,0.901156001087975
1,12,6,12,110,0.844602368427358
1,12,3,12,110,0.87645361381956
1,12,4,12,110,0.853824028541735
1,12,5,12,110,0.844756442661504
2,14,4,14,110,0.86588315293041
2,14,1,14,110,0.860990451384097
4,14,2,14,110,0.86588315293041
1,14,2,14,110,0.860990451384097
6,17,2,17,110,0.846852661022826
2,17,6,17,110,0.846852661022826
2,17,5,17,110,0.854285428133962
2,17,3,17,110,0.894390241787489
5,17,2,17,110,0.854285428133962
3,17,2,17,110,0.894390241787489
3,35,7,35,110,0.868329291910349
7,35,3,35,110,0.868329291910349
7,8,1,8,110,0.837149498987334
7,8,2,8,110,0.834515141041825
1,8,7,8,110,0.837149498987334
2,8,7,8,110,0.834515141041825
4,1,1,1,111,0.853824028541735
4,1,5,1,111,0.992191767955393
4,1,6,1,111,0.95043834059757
5,1,1,1,111,0.844756442661504
5,1,4,1,111,0.992191767955393
5,1,6,1,111,1
6,1,1,1,111,0.844602368427358
6,1,4,1,111,0.95043834059757
6,1,5,1,111,1
6,10,7,10,111,0.96299391606049
5,10,7,10,111,0.92375797722717
7,10,6,10,111,0.96299391606049
7,10,5,10,111,0.92375797722717
7,10,4,10,111,0.901628286948602
4,10,7,10,111,0.901628286948602
4,12,3,12,111,0.932109694280795
5,12,3,12,111,0.901156001087975
6,12,3,12,111,0.890714569636423
3,12,4,12,111,0.932109694280795
3,12,5,12,111,0.901156001087975
3,12,6,12,111,0.890714569636423
3,12,1,12,111,0.87645361381956
1,12,4,12,111,0.853824028541735
1,12,5,12,111,0.844756442661504
1,12,6,12,111,0.844602368427358
1,12,3,12,111,0.87645361381956
2,14,4,14,111,0.86588315293041
2,14,1,14,111,0.860990451384097
4,14,2,14,111,0.86588315293041
1,14,2,14,111,0.860990451384097
6,17,2,17,111,0.846852661022826
2,17,6,17,111,0.846852661022826
2,17,5,17,111,0.854285428133962
2,17,3,17,111,0.894390241787489
5,17,2,17,111,0.854285428133962
3,17,2,17,111,0.894390241787489
7,35,3,35,111,0.868329291910349
3,35,7,35,111,0.868329291910349
7,8,2,8,111,0.834515141041825
7,8,1,8,111,0.837149498987334
2,8,7,8,111,0.834515141041825
1,8,7,8,111,0.837149498987334
6,1,1,1,112,0.844602368427358
6,1,5,1,112,1
6,1,4,1,112,0.95043834059757
5,1,1,1,112,0.844756442661504
5,1,6,1,112,1
5,1,4,1,112,0.992191767955393
4,1,1,1,112,0.853824028541735
4,1,6,1,112,0.95043834059757
4,1,5,1,112,0.992191767955393
5,10,7,10,112,0.92375797722717
6,10,7,10,112,0.96299391606049
7,10,5,10,112,0.92375797722717
7,10,6,10,112,0.96299391606049
7,10,4,10,112,0.901628286948602
4,10,7,10,112,0.901628286948602
6,12,3,12,112,0.890714569636423
4,12,3,12,112,0.932109694280795
5,12,3,12,112,0.901156001087975
3,12,6,12,112,0.890714569636423
3,12,4,12,112,0.932109694280795
3,12,5,12,112,0.901156001087975
3,12,1,12,112,0.87645361381956
1,12,6,12,112,0.844602368427358
1,12,4,12,112,0.853824028541735
1,12,5,12,112,0.844756442661504
1,12,3,12,112,0.87645361381956
2,14,4,14,112,0.86588315293041
2,14,1,14,112,0.860990451384097
4,14,2,14,112,0.86588315293041
1,14,2,14,112,0.860990451384097
2,17,5,17,112,0.854285428133962
2,17,6,17,112,0.846852661022826
2,17,3,17,112,0.894390241787489
5,17,2,17,112,0.854285428133962
6,17,2,17,112,0.846852661022826
3,17,2,17,112,0.894390241787489
7,35,3,35,112,0.868329291910349
3,35,7,35,112,0.868329291910349
1,8,7,8,112,0.837149498987334
7,8,1,8,112,0.837149498987334
7,8,2,8,112,0.834515141041825
2,8,7,8,112,0.834515141041825
4,1,1,1,113,0.853824028541735
4,1,6,1,113,0.95043834059757
4,1,5,1,113,0.992191767955393
6,1,1,1,113,0.844602368427358
6,1,4,1,113,0.95043834059757
6,1,5,1,113,1
5,1,1,1,113,0.844756442661504
5,1,4,1,113,0.992191767955393
5,1,6,1,113,1
5,10,7,10,113,0.92375797722717
6,10,7,10,113,0.96299391606049
7,10,5,10,113,0.92375797722717
7,10,6,10,113,0.96299391606049
7,10,4,10,113,0.901628286948602
4,10,7,10,113,0.901628286948602
4,12,3,12,113,0.932109694280795
3,12,4,12,113,0.932109694280795
3,12,5,12,113,0.901156001087975
3,12,6,12,113,0.890714569636423
3,12,1,12,113,0.87645361381956
5,12,3,12,113,0.901156001087975
6,12,3,12,113,0.890714569636423
1,12,4,12,113,0.853824028541735
1,12,3,12,113,0.87645361381956
1,12,5,12,113,0.844756442661504
1,12,6,12,113,0.844602368427358
2,14,4,14,113,0.86588315293041
2,14,1,14,113,0.860990451384097
4,14,2,14,113,0.86588315293041
1,14,2,14,113,0.860990451384097
3,17,2,17,113,0.894390241787489
2,17,3,17,113,0.894390241787489
2,17,6,17,113,0.846852661022826
2,17,5,17,113,0.854285428133962
6,17,2,17,113,0.846852661022826
5,17,2,17,113,0.854285428133962
7,35,3,35,113,0.868329291910349
3,35,7,35,113,0.868329291910349
7,8,2,8,113,0.834515141041825
7,8,1,8,113,0.837149498987334
2,8,7,8,113,0.834515141041825
1,8,7,8,113,0.837149498987334
6,1,1,1,114,0.844602368427358
6,1,5,1,114,1
6,1,4,1,114,0.95043834059757
5,1,1,1,114,0.844756442661504
5,1,6,1,114,1
5,1,4,1,114,0.992191767955393
4,1,1,1,114,0.853824028541735
4,1,6,1,114,0.95043834059757
4,1,5,1,114,0.992191767955393
4,10,7,10,114,0.901628286948602
6,10,7,10,114,0.96299391606049
7,10,4,10,114,0.901628286948602
7,10,6,10,114,0.96299391606049
7,10,5,10,114,0.92375797722717
5,10,7,10,114,0.92375797722717
4,12,3,12,114,0.932109694280795
6,12,3,12,114,0.890714569636423
3,12,4,12,114,0.932109694280795
3,12,6,12,114,0.890714569636423
3,12,5,12,114,0.901156001087975
3,12,1,12,114,0.87645361381956
5,12,3,12,114,0.901156001087975
1,12,4,12,114,0.853824028541735
1,12,6,12,114,0.844602368427358
1,12,3,12,114,0.87645361381956
1,12,5,12,114,0.844756442661504
2,14,4,14,114,0.86588315293041
2,14,1,14,114,0.860990451384097
4,14,2,14,114,0.86588315293041
