"node_from","layer_from","layer_to","node_to","weight","trial_num"
183,4,3,183,0.2,16
83,4,1,83,0.2,17
138,2,1,138,0.25,17
226,5,4,226,0.2,17
234,3,2,234,0.2,17
234,4,2,234,0.285714285714286,17
197,3,2,197,0.166666666666667,17
225,5,3,225,0.5,17
43,2,1,43,0.25,17
46,4,1,46,0.2,17
144,2,1,144,0.5,17
144,4,3,144,0.166666666666667,17
165,4,1,165,0.5,17
96,5,2,96,0.2,17
170,4,2,170,0.166666666666667,17
200,5,2,200,0.2,17
39,4,3,39,0.25,17
49,4,2,49,0.333333333333333,17
184,3,2,184,0.166666666666667,17
47,4,2,47,0.222222222222222,17
139,3,2,139,0.2,17
114,3,2,114,0.333333333333333,17
158,4,2,158,0.25,17
119,4,3,119,0.333333333333333,17
119,5,3,119,0.25,17
119,5,4,119,0.25,17
162,5,3,162,0.2,17
75,5,3,75,1,18
226,4,2,226,0.25,18
68,3,1,68,0.2,18
93,4,3,93,0.166666666666667,18
203,5,3,203,0.2,18
144,2,1,144,0.25,18
144,3,1,144,0.5,18
144,3,2,144,0.333333333333333,18
144,4,2,144,0.166666666666667,18
144,5,4,144,0.2,18
43,2,1,43,0.5,18
197,4,2,197,0.166666666666667,18
183,4,3,183,0.2,18
234,2,1,234,0.2,18
184,3,2,184,0.125,18
138,5,4,138,0.25,18
225,3,2,225,0.142857142857143,18
47,3,2,47,0.2,18
49,3,2,49,0.166666666666667,18
49,4,2,49,0.166666666666667,18
49,4,3,49,0.2,18
223,4,2,223,0.25,18
223,5,2,223,0.2,18
223,5,4,223,0.25,18
46,3,2,46,0.333333333333333,18
213,5,3,213,0.333333333333333,18
117,5,3,117,0.25,18
81,4,3,81,0.25,18
144,2,1,144,0.25,19
144,3,1,144,0.25,19
144,5,1,144,0.333333333333333,19
144,5,3,144,0.25,19
138,2,1,138,0.25,19
226,4,1,226,0.25,19
46,3,2,46,0.333333333333333,19
46,4,2,46,0.5,19
75,3,1,75,0.2,19
75,4,1,75,0.2,19
75,5,3,75,0.333333333333333,19
93,4,3,93,0.333333333333333,19
83,3,2,83,0.25,19
186,4,1,186,0.166666666666667,19
225,2,1,225,0.25,19
225,4,3,225,0.333333333333333,19
49,3,2,49,0.25,19
49,4,2,49,0.166666666666667,19
94,3,2,94,0.166666666666667,19
223,4,2,223,0.142857142857143,19
234,4,2,234,0.25,19
158,3,2,158,0.25,19
114,5,2,114,0.25,19
178,3,2,178,0.5,19
139,3,2,139,0.333333333333333,19
139,4,2,139,0.5,19
139,4,3,139,0.25,19
119,5,3,119,0.2,19
119,5,4,119,0.25,19
160,5,3,160,0.142857142857143,19
199,4,3,199,0.1,19
79,5,3,79,0.166666666666667,19
81,4,3,81,0.333333333333333,19
144,2,1,144,0.142857142857143,20
197,4,1,197,0.25,20
225,2,1,225,0.333333333333333,20
93,2,1,93,0.2,20
93,5,4,93,0.166666666666667,20
46,3,2,46,0.25,20
83,4,2,83,0.2,20
234,4,3,234,0.25,20
43,3,2,43,0.5,20
75,4,2,75,0.166666666666667,20
138,4,1,138,0.2,20
49,3,2,49,0.2,20
58,3,2,58,0.142857142857143,20
223,4,2,223,0.25,20
223,5,3,223,0.2,20
227,3,2,227,0.25,20
139,3,2,139,0.1,20
139,4,2,139,0.2,20
139,4,3,139,0.1,20
139,5,4,139,0.166666666666667,20
166,3,2,166,0.125,20
184,3,2,184,0.142857142857143,20
170,4,2,170,0.125,20
117,5,3,117,0.5,20
199,4,3,199,0.125,20
162,4,3,162,0.166666666666667,20
204,5,3,204,0.333333333333333,20
81,5,4,81,0.142857142857143,20
43,2,1,43,0.2,21
43,3,2,43,0.2,21
68,4,1,68,1,21
177,5,1,177,1,21
225,5,1,225,0.5,21
225,4,3,225,0.25,21
226,3,2,226,0.2,21
226,4,2,226,0.166666666666667,21
138,3,2,138,0.166666666666667,21
138,5,4,138,0.142857142857143,21
203,3,1,203,0.25,21
93,4,1,93,0.333333333333333,21
124,4,1,124,0.25,21
197,3,2,197,0.2,21
234,3,1,234,0.5,21
234,4,2,234,0.2,21
182,4,2,182,0.333333333333333,21
117,3,2,117,0.166666666666667,21
49,4,3,49,0.5,21
119,5,4,119,0.142857142857143,21
162,4,3,162,0.2,21
199,4,3,199,0.125,21
90,5,4,90,0.2,21
68,3,1,68,0.2,22
83,3,2,83,0.25,22
138,4,2,138,0.666666666666667,22
138,5,2,138,0.166666666666667,22
138,5,4,138,0.2,22
197,2,1,197,0.5,22
88,2,1,88,0.166666666666667,22
226,3,2,226,0.222222222222222,22
226,4,2,226,0.111111111111111,22
226,4,3,226,0.125,22
75,4,3,75,0.5,22
225,4,2,225,0.2,22
225,5,4,225,0.25,22
144,3,2,144,0.2,22
144,4,3,144,0.25,22
234,2,1,234,0.25,22
49,3,2,49,0.25,22
49,4,2,49,0.166666666666667,22
93,4,2,93,0.2,22
166,3,2,166,0.166666666666667,22
139,3,2,139,0.2,22
46,3,2,46,0.2,22
46,4,3,46,0.2,22
182,4,2,182,0.4,22
81,5,3,81,0.25,22
79,5,3,79,1,22
83,2,1,83,0.111111111111111,23
83,4,1,83,0.142857142857143,23
83,4,2,83,0.333333333333333,23
186,4,1,186,0.25,23
225,5,1,225,0.2,23
234,4,1,234,0.166666666666667,23
138,2,1,138,0.333333333333333,23
138,4,1,138,0.333333333333333,23
138,4,2,138,0.333333333333333,23
138,5,3,138,0.25,23
144,4,2,144,0.25,23
197,4,1,197,0.5,23
93,3,1,93,0.111111111111111,23
93,4,3,93,0.142857142857143,23
114,5,2,114,0.5,23
114,5,3,114,0.2,23
166,3,2,166,0.142857142857143,23
200,4,2,200,0.375,23
223,3,2,223,0.166666666666667,23
223,4,2,223,0.166666666666667,23
96,5,2,96,0.2,23
117,5,2,117,0.333333333333333,23
178,5,3,178,0.142857142857143,23
139,5,4,139,0.25,23
184,3,2,184,0.2,23
75,5,4,75,0.333333333333333,23
94,3,2,94,0.25,23
118,5,3,118,0.5,23
203,5,3,203,0.125,23
163,5,3,163,0.25,23
119,4,3,119,0.125,23
81,5,4,81,0.2,23
214,5,4,214,0.333333333333333,23
144,3,1,144,0.333333333333333,24
144,5,1,144,0.25,24
144,5,3,144,0.166666666666667,24
144,5,4,144,0.2,24
93,4,2,93,0.285714285714286,24
93,5,2,93,0.2,24
93,5,4,93,0.166666666666667,24
123,3,1,123,0.2,24
226,2,1,226,0.25,24
46,3,2,46,0.142857142857143,24
223,4,2,223,0.333333333333333,24
184,3,2,184,0.166666666666667,24
117,3,2,117,0.2,24
200,4,2,200,0.142857142857143,24
47,4,3,47,0.333333333333333,24
139,4,2,139,0.5,24
116,4,3,116,0.2,24
116,5,3,116,0.25,24
163,5,3,163,0.166666666666667,24
104,4,3,104,0.166666666666667,24
118,5,3,118,0.2,24
81,4,3,81,0.2,24
81,5,3,81,0.25,24
81,5,4,81,0.166666666666667,24
174,5,4,174,0.25,24
138,5,4,138,0.333333333333333,25
234,2,1,234,0.25,25
93,3,2,93,0.166666666666667,25
197,4,3,197,0.333333333333333,25
46,2,1,46,1,25
46,5,3,46,0.25,25
46,5,4,46,0.333333333333333,25
39,4,3,39,0.2,25
43,3,2,43,0.166666666666667,25
47,3,2,47,0.333333333333333,25
166,3,2,166,0.2,25
182,4,2,182,0.2,25
200,5,2,200,0.25,25
223,5,2,223,0.2,25
158,4,2,158,0.5,25
75,4,2,75,0.333333333333333,25
94,3,2,94,0.5,25
139,5,3,139,0.142857142857143,25
163,5,3,163,0.166666666666667,25
162,4,3,162,0.2,25
162,5,4,162,0.166666666666667,25
79,5,3,79,0.25,25
116,5,3,116,0.25,25
204,5,3,204,1,25
93,2,1,93,0.2,26
226,3,2,226,0.166666666666667,26
43,2,1,43,0.333333333333333,26
75,3,1,75,0.25,26
68,4,1,68,0.2,26
144,4,3,144,0.166666666666667,26
144,5,4,144,0.2,26
225,4,3,225,0.142857142857143,26
225,5,3,225,0.142857142857143,26
225,5,4,225,0.111111111111111,26
197,3,2,197,0.285714285714286,26
197,4,2,197,0.333333333333333,26
197,4,3,197,0.166666666666667,26
96,5,2,96,0.2,26
47,4,2,47,0.142857142857143,26
47,4,3,47,0.142857142857143,26
139,4,2,139,0.166666666666667,26
139,5,4,139,0.25,26
170,4,2,170,0.2,26
49,4,2,49,0.25,26
158,4,3,158,0.25,26
227,3,2,227,0.5,26
46,3,2,46,0.25,26
162,4,3,162,0.166666666666667,26
121,4,3,121,0.25,26
148,5,3,148,0.25,26
213,5,3,213,0.166666666666667,26
50,4,3,50,1,26
81,5,4,81,0.333333333333333,26
174,5,4,174,0.333333333333333,26
68,3,1,68,0.333333333333333,27
68,4,1,68,0.25,27
68,4,3,68,0.166666666666667,27
43,2,1,43,0.25,27
75,3,2,75,0.333333333333333,27
75,4,3,75,0.25,27
93,3,2,93,0.166666666666667,27
93,5,2,93,0.25,27
93,4,3,93,0.2,27
93,5,3,93,0.2,27
197,3,2,197,0.25,27
58,3,2,58,0.125,27
200,4,2,200,0.166666666666667,27
200,5,4,200,0.333333333333333,27
144,5,4,144,0.166666666666667,27
139,4,2,139,0.333333333333333,27
139,5,3,139,1,27
170,4,2,170,0.25,27
199,4,3,199,0.25,27
162,5,3,162,0.166666666666667,27
90,5,4,90,0.25,27
111,5,4,111,0.166666666666667,27
75,4,1,75,0.333333333333333,28
75,4,3,75,0.166666666666667,28
197,4,1,197,0.125,28
225,4,1,225,0.5,28
225,5,3,225,0.285714285714286,28
226,2,1,226,0.25,28
226,4,1,226,0.166666666666667,28
43,3,2,43,0.166666666666667,28
144,5,2,144,0.25,28
144,5,3,144,0.2,28
138,4,3,138,0.2,28
138,5,4,138,0.2,28
234,4,2,234,0.2,28
39,4,2,39,0.142857142857143,28
39,4,3,39,0.2,28
49,4,3,49,0.666666666666667,28
93,5,2,93,0.25,28
93,4,3,93,0.25,28
93,5,3,93,0.25,28
46,5,4,46,0.333333333333333,28
108,3,2,108,0.0909090909090909,28
117,3,2,117,0.166666666666667,28
139,4,2,139,0.2,28
158,4,2,158,0.333333333333333,28
116,4,3,116,0.25,28
148,5,3,148,0.25,28
204,4,3,204,0.125,28
204,5,3,204,0.125,28
81,5,4,81,0.25,28
43,3,2,43,0.25,29
165,4,1,165,0.142857142857143,29
197,4,1,197,0.2,29
225,4,3,225,0.166666666666667,29
93,3,2,93,0.25,29
226,3,2,226,0.2,29
226,5,4,226,0.5,29
108,3,2,108,0.2,29
117,5,2,117,0.25,29
139,5,2,139,0.5,29
139,5,3,139,0.333333333333333,29
36,3,2,36,0.4,29
46,4,2,46,0.2,29
114,3,2,114,0.2,29
223,3,2,223,0.142857142857143,29
223,5,3,223,0.25,29
223,5,4,223,0.142857142857143,29
75,5,3,75,0.25,29
169,5,2,169,0.166666666666667,29
81,4,3,81,0.166666666666667,29
81,5,4,81,0.25,29
119,4,3,119,0.5,29
119,5,3,119,0.333333333333333,29
119,5,4,119,0.5,29
148,5,3,148,0.333333333333333,29
204,5,4,204,0.25,29
174,5,4,174,0.2,29
234,2,1,234,0.166666666666667,30
234,4,2,234,0.2,30
43,3,1,43,0.25,30
68,4,3,68,0.142857142857143,30
225,3,2,225,0.166666666666667,30
225,5,2,225,0.25,30
225,5,3,225,0.142857142857143,30
226,4,2,226,0.166666666666667,30
46,3,2,46,0.166666666666667,30
46,5,3,46,0.333333333333333,30
75,4,2,75,0.2,30
75,4,3,75,0.142857142857143,30
144,5,3,144,0.4,30
138,3,1,138,0.5,30
138,5,4,138,0.25,30
93,5,2,93,0.25,30
39,3,2,39,0.142857142857143,30
200,5,4,200,0.333333333333333,30
170,4,2,170,0.2,30
139,5,2,139,0.5,30
197,3,2,197,0.333333333333333,30
121,4,3,121,0.166666666666667,30
118,5,3,118,0.142857142857143,30
119,5,4,119,0.333333333333333,30
162,4,3,162,0.25,30
116,4,3,116,0.5,30
214,5,4,214,0.333333333333333,30
138,5,1,138,0.333333333333333,31
75,4,1,75,0.2,31
75,3,2,75,0.166666666666667,31
75,4,2,75,0.333333333333333,31
75,4,3,75,0.166666666666667,31
144,2,1,144,0.2,31
144,5,1,144,0.166666666666667,31
144,3,2,144,0.2,31
144,5,2,144,0.166666666666667,31
144,5,4,144,0.2,31
78,2,1,78,0.333333333333333,31
83,3,2,83,0.333333333333333,31
93,4,1,93,0.333333333333333,31
225,2,1,225,0.333333333333333,31
43,3,1,43,0.333333333333333,31
227,3,2,227,0.166666666666667,31
139,5,3,139,0.166666666666667,31
197,4,2,197,0.2,31
119,4,3,119,0.2,31
214,5,4,214,0.25,31
46,4,2,46,0.333333333333333,32
68,4,3,68,0.4,32
177,5,1,177,0.2,32
234,4,1,234,0.166666666666667,32
75,4,2,75,0.166666666666667,32
226,5,4,226,0.333333333333333,32
93,3,2,93,0.166666666666667,32
93,4,2,93,0.2,32
178,5,2,178,0.2,32
139,3,2,139,0.166666666666667,32
83,3,2,83,0.25,32
197,3,2,197,0.142857142857143,32
197,4,3,197,0.2,32
199,4,3,199,0.2,32
162,5,4,162,1,32
204,5,3,204,0.166666666666667,32
90,5,4,90,0.25,32
214,5,4,214,0.166666666666667,32
200,5,4,200,0.333333333333333,32
46,4,2,46,1,33
177,5,1,177,0.166666666666667,33
234,3,2,234,0.333333333333333,33
234,4,2,234,0.25,33
234,4,3,234,0.25,33
83,4,3,83,0.1,33
226,5,2,226,0.166666666666667,33
225,5,4,225,0.333333333333333,33
108,3,2,108,0.142857142857143,33
139,5,2,139,0.25,33
139,5,4,139,0.166666666666667,33
170,4,2,170,0.5,33
200,5,4,200,0.25,33
144,4,2,144,0.142857142857143,33
144,4,3,144,0.2,33
223,4,3,223,0.5,33
93,4,2,93,0.2,33
114,3,2,114,0.2,33
114,5,3,114,0.333333333333333,33
119,5,3,119,0.25,33
204,4,3,204,0.25,33
81,4,3,81,0.2,33
81,5,3,81,0.25,33
123,3,1,123,0.2,34
186,4,1,186,0.5,34
225,3,2,225,0.166666666666667,34
226,5,3,226,0.142857142857143,34
144,5,4,144,0.166666666666667,34
46,5,4,46,0.25,34
49,4,3,49,0.2,34
114,3,2,114,0.142857142857143,34
75,3,2,75,0.25,34
166,3,2,166,0.2,34
117,5,2,117,0.166666666666667,34
178,5,3,178,0.2,34
47,4,3,47,0.2,34
108,3,2,108,0.2,34
116,5,4,116,0.166666666666667,34
118,5,3,118,0.5,34
163,5,3,163,0.2,34
204,4,3,204,0.25,34
75,4,1,75,0.166666666666667,35
75,5,1,75,0.166666666666667,35
75,5,4,75,0.142857142857143,35
46,2,1,46,0.5,35
46,4,3,46,0.2,35
83,4,1,83,0.2,35
83,4,2,83,0.5,35
226,4,2,226,0.333333333333333,35
138,5,2,138,0.2,35
183,4,1,183,0.333333333333333,35
36,3,2,36,0.142857142857143,35
94,3,2,94,0.166666666666667,35
144,4,3,144,0.142857142857143,35
200,4,2,200,0.142857142857143,35
200,5,4,200,0.2,35
114,5,3,114,0.5,35
39,4,2,39,0.142857142857143,35
118,5,3,118,0.333333333333333,35
191,5,3,191,0.166666666666667,35
90,5,4,90,0.2,35
43,2,1,43,0.333333333333333,36
203,5,3,203,0.25,36
226,5,1,226,0.333333333333333,36
68,4,3,68,0.25,36
138,3,1,138,0.2,36
83,4,2,83,0.125,36
183,4,3,183,0.25,36
144,4,2,144,0.25,36
144,5,3,144,0.333333333333333,36
223,4,3,223,0.2,36
39,3,2,39,0.166666666666667,36
