"node_from","node_to","co_occurrences"
18,55,1
18,56,1
18,92,1
18,166,1
19,55,1
20,44,1
20,56,1
20,60,2
20,92,2
20,165,2
20,249,1
20,252,1
20,266,1
21,98,1
21,162,1
21,165,1
21,176,1
21,202,1
21,243,1
21,275,1
22,77,1
22,91,1
22,105,1
23,92,2
23,55,2
23,182,1
23,195,1
23,266,2
24,99,1
24,100,1
24,170,1
24,261,1
24,262,1
25,202,1
26,45,2
26,51,1
26,58,1
26,57,1
26,116,1
26,164,1
26,194,2
26,196,1
26,244,2
26,258,2
26,55,9
26,91,2
26,92,8
26,274,9
26,275,9
26,277,1
26,77,2
26,81,3
26,131,2
26,168,1
26,242,6
26,44,5
26,56,4
26,60,7
26,139,2
26,163,7
26,165,7
26,215,2
26,217,6
26,266,4
26,43,1
26,50,8
26,84,3
27,92,2
27,275,2
27,109,1
28,51,1
28,194,2
28,216,2
28,242,2
28,86,2
28,172,1
29,92,1
30,50,1
30,55,1
30,92,1
30,124,1
30,126,1
30,138,1
30,139,1
30,165,1
30,166,1
30,181,1
30,211,1
30,254,1
30,278,1
31,62,3
31,92,8
31,111,4
31,165,8
31,170,5
31,187,6
31,212,1
31,235,3
31,238,4
31,253,2
31,109,2
31,110,1
31,150,1
31,185,1
31,217,4
31,241,3
31,243,4
31,50,4
31,60,6
31,138,6
31,152,1
31,242,3
31,41,1
31,112,1
31,141,6
31,193,2
31,177,1
31,207,2
31,216,3
31,245,1
31,127,1
31,265,2
31,108,2
31,121,1
32,264,2
32,91,2
32,101,2
33,88,2
33,165,3
33,192,3
33,216,2
33,272,2
33,275,3
33,60,2
33,92,3
33,146,1
33,163,3
33,170,2
33,283,1
33,210,1
33,248,1
34,76,2
34,92,4
34,115,1
34,163,3
34,199,3
34,60,4
34,130,2
34,165,4
34,211,1
34,270,2
34,266,1
34,255,1
35,50,4
35,92,8
35,174,1
35,187,6
35,199,2
35,76,2
35,112,2
35,170,5
35,78,1
35,175,2
35,242,3
35,62,2
35,68,1
35,138,6
35,163,8
35,238,2
35,243,3
35,143,1
35,197,2
35,216,2
35,190,3
35,265,2
36,55,2
36,101,2
36,234,1
36,272,1
37,165,3
37,266,2
37,274,3
37,154,1
37,187,2
37,92,3
38,76,1
38,95,1
38,274,6
38,275,6
38,276,3
38,92,6
38,165,6
38,192,3
38,217,5
38,226,2
38,266,4
38,60,5
38,73,3
38,140,3
38,216,1
38,50,5
38,166,2
38,167,2
38,124,1
38,178,1
39,45,2
39,86,2
39,100,1
39,161,1
39,180,1
39,216,2
39,271,1
39,258,2
